DATAFLOW,LAST UPDATE,freq,indic_ur,cities,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE006F,2020,229515,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE006F,2021,242797,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE007F,2013,219022,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE007F,2014,219480,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE007F,2015,220548,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE007F,2016,220668,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE007F,2017,222180,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE007F,2018,223018,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE007F,2019,223751,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE007F,2020,225018,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE007F,2021,269250,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE009F,2013,196500,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE009F,2014,197839,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE009F,2015,198380,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE009F,2016,198418,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE009F,2017,198915,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE009F,2018,198994,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE009F,2019,199344,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE009F,2020,199675,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE009F,2021,254722,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE010F,2013,171370,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE010F,2014,171464,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE010F,2015,171812,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE010F,2016,172037,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE010F,2017,172836,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE010F,2018,173640,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE010F,2019,174535,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE010F,2020,175746,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE010F,2021,215682,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE011F,2013,127356,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE011F,2014,127927,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE011F,2015,128460,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE011F,2016,128578,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE011F,2017,129359,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE011F,2018,130055,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE011F,2019,130567,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE011F,2020,131175,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE011F,2021,131444,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE012F,2021,123593,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE013F,2021,70233,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE014F,2021,166213,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE015F,2021,107150,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG,2013,7284552,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG,2014,7245677,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG,2015,7202198,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG,2016,7153784,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG,2017,7101859,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG,2018,7050034,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG,2019,7000039,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG,2020,6951482,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG001F,2013,1538842,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG001F,2014,1543377,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG001F,2015,1547472,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG001F,2016,1548795,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG001F,2017,1549659,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG001F,2018,1549090,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG001F,2019,1549465,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG001F,2020,1547779,
