cities,2013,2014,2015,2016,2017,2018,2019,2029,2021
AT001C,1741246,1766746,,,,,,,
AT002C,265778,269997,,,,,,,
AT003C,191501,193814,,,,,,,
AT004C,145871,146631,,,,,,,
AT005C,122458,124579,,,,,,,
AT006C,95450,96640,,,,,,,
BE001C,1174624,1183841,1196831,1201129,1199095,1205492,1215289,1223364,1226329
BE002C,512230,513915,515593,517731,520859,523591,526439,530014,530627
BE003C,249754,251984,253914,257226,259462,260329,262205,263687,264019
BE004C,204826,203640,203228,202602,201884,202341,202637,203314,238412
BE005C,382009,382637,382852,382488,383725,383710,383482,383700,405980
BE006C,118145,117886,118335,118219,118393,118526,118569,118916,118802
BE007C,111224,111348,111312,110738,111111,111334,111239,112125,112373
BE008C,98119,98591,98531,99365,99640,100524,101132,101625,100772
BE009C,94316,95357,95469,95046,95332,95369,95679,95922,157333
BE010C,75687,75604,75577,75639,75849,76342,76814,77136,77303
BE011C,70458,70681,70813,70782,71204,71451,71551,71732,71861
BE012C,,,,,,,,,87210
BE013C,,,,,,,,,59681
BE014C,,,,,,,,,104550
BE015C,,,,,,,,,70490
BG001C,1213542,1221292,1228282,1231981,1236047,1238438,1241675,1242568,
BG002C,339129,341041,341567,341625,343424,345213,346893,347851,
BG003C,334744,335819,335949,334466,335177,335854,336505,336216,
BG004C,199083,199364,198725,203017,202766,202694,202434,201779,
BG005C,104416,103122,101978,99628,98467,97557,96610,95086,
BG006C,148350,147817,147055,145765,144936,144125,142902,141231,
BG007C,46877,46068,45327,43595,42801,42195,41583,40620,
BG008C,137881,137834,137729,136807,136781,136307,135715,134726,
BG009C,90404,89723,89065,87895,87322,87063,86275,84985,
BG010C,89627,88807,87817,86292,85402,84502,83584,82240,
BG011C,80143,79710,78884,77709,76967,75837,75500,75442,
BG012C,78371,77382,76247,74824,74110,73638,73111,72241,
BG013C,72778,72159,71561,70224,69542,68846,68074,67222,
BG014C,75334,74826,73819,72336,71686,71214,70406,69219,
BG015C,71195,70728,70321,69384,68963,68572,68194,67650,
BG016C,70562,70583,70293,69610,69567,69417,69178,68679,
BG017C,68871,68984,68676,68320,68478,68780,68859,68828,
BG018C,58856,57771,56517,54150,53570,53120,52617,51674,
CH001C,216772,219202,221330,223453,226241,227924,228474,229391,230200
CH002C,628763,636561,647786,657918,668341,677118,686121,695019,700889
CH003C,382099,386660,393307,399103,402866,407605,411367,415360,416693
CH004C,331281,334220,336466,338453,341193,342698,343818,345476,346640
CH005C,235036,239243,241628,244668,248302,250937,252922,254398,257096
CH006C,155775,157412,158637,159189,160244,160566,161790,163068,163830
CH007C,104468,105676,106778,108268,109775,110912,111851,113173,114220
