cities,2013,2014,2015,2016,2017,2018,2019,2029,2021
BE001F,,2607961,2611393,2625525,2651879,2667824,2688354,2708766,3331496
BE002F,1086952,1090650,1094758,1100139,1106422,1111919,1118480,1125878,1151467
BE003F,,590592,594360,599004,603140,605956,618244,621651,668020
BE004F,488748,488488,485058,484899,488749,489264,489716,490525,508219
BE005F,742902,743871,746460,747505,750318,751881,752663,755115,797268
BE006F,226170,226062,226879,226880,227835,228401,228912,229515,242797
BE007F,219022,219480,220548,220668,222180,223018,223751,225018,269250
BE009F,196500,197839,198380,198418,198915,198994,199344,199675,254722
BE010F,171370,171464,171812,172037,172836,173640,174535,175746,215682
BE011F,127356,127927,128460,128578,129359,130055,130567,131175,131444
BE012F,,,,,,,,,123593
BE013F,,,,,,,,,70233
BE014F,,,,,,,,,166213
BE015F,,,,,,,,,107150
BG001F,1538842,1543377,1547472,1548795,1549659,1549090,1549465,1547779,
BG002F,544086,544628,543491,542511,542418,542253,542481,542407,
BG003F,416871,417867,418108,417163,417478,417462,417224,416476,
BG004F,277929,277922,276983,275776,275224,274911,274128,272859,
BG005F,159345,157528,155750,153590,151694,149939,148045,145867,
BG006F,185649,184663,183326,181866,180442,179077,177286,175007,
BG007F,64247,63011,61764,59784,58481,57330,56264,54977,
BG008F,162303,162393,162049,161235,160883,160125,159037,157836,
BG009F,123891,123122,122331,121405,120635,120081,118972,117579,
BG010F,111159,110072,108959,107486,106284,105076,103929,102649,
BG011F,98927,98421,97634,96475,95608,94413,94016,94043,
BG013F,96312,95289,94306,92949,91829,90677,89509,88474,
BG014F,92788,92090,90940,89342,88471,87780,86611,85460,
BG015F,113365,112373,111551,110302,109413,108376,107505,106526,
BG016F,96084,95738,95266,94630,94198,93588,92943,92047,
BG017F,88286,88278,87771,87259,87181,87111,86833,86516,
BG018F,71708,70395,69100,66788,65905,65185,64447,63473,
CH001F,694347,700713,706474,712402,719369,723526,726597,730133,733216
CH002F,1759883,1781846,1806222,1830848,1857240,1876909,1897112,1918681,1936563
CH003F,554283,562285,572292,581334,587511,594191,599563,605466,609068
CH003T,830811,,874581,890774,902511,914405,,,
CH004F,542929,547974,553076,557040,561535,564129,566453,569192,572122
CH004T,789951,,838381,845912,851596,855632,,,
CH005F,525473,536480,543931,552284,560537,566954,570920,574937,582578
CH006F,300545,303701,306212,308613,311431,313546,315775,318276,320551
CH008F,173292,176661,179163,179877,180813,180074,180062,178970,178829
CH009F,256814,258687,260192,261798,263264,264272,265470,266629,267646
CH010F,94021,95233,,,,,,,
CY001F,336900,333800,329500,330000,,,,,
CY003F,241900,239700,236600,237000,,,,,
CZ001F,2176995,2204730,2224080,2177527,2203315,,2259981,,
CZ002F,786024,788974,791280,723491,727759,,735652,,
CZ003F,1126660,1123103,1119593,716644,713812,,709768,,
CZ004F,372659,374380,375897,344477,346368,,353693,,
CZ005F,248315,248343,248246,119209,119420,,119245,,
CZ006F,232474,233192,233755,209339,209860,,211047,,
CZ007F,261413,261759,262531,145441,145906,,147221,,
CZ008F,188965,189861,190844,183197,184653,,187216,,
CZ009F,162651,162808,163159,153844,154101,,154768,,
CZ010F,168569,169248,169836,201942,202953,,206612,,
CZ011F,192116,191793,191830,147471,147475,,147718,,
CZ013F,117297,117016,116364,90587,90257,,89983,,
CZ014F,112220,112417,112619,102016,102396,,103058,,
CZ016F,114419,113857,113371,104015,103765,,102712,,
CZ018F,124963,124644,124335,81147,81138,,81269,,
DE001F,4951687,5005216,5066361,5143049,5207915,5259363,5303846,5342887,4979867
DE002F,3152229,3173871,3201905,3243171,3282164,3309215,3327940,3341649,3421692
DE003F,2730606,2768488,2804001,2848906,2879107,2883373,2908664,2927716,3016834
DE004F,1917088,1930036,1947165,1973455,1987901,1994524,2003046,2005478,2215509
DE005F,2547153,2573745,2606836,2649983,2671358,2693115,2710127,2729562,2678557
